G,Time(s)
5,0.0322954
6,0.0176469
7,0.0176572
8,0.0157003
9,0.018334
10,0.0161244
11,0.0161918
12,0.0162981
13,0.0181618
14,0.0164678
15,0.0152636
16,0.015049
17,0.0149943
18,0.0148908
19,0.018516
20,0.0170178
21,0.0149095
22,0.0160745
23,0.0159121
24,0.0152859
25,0.0151791
26,0.0152352
27,0.0158487
28,0.0156743
29,0.015678
30,0.015396
31,0.015189
32,0.0142388
33,0.0156869
34,0.0155741
35,0.0173281
36,0.0151651
37,0.0158796
38,0.014792
39,0.0155506
40,0.0147515
41,0.0151918
42,0.0159417
43,0.0149775
44,0.016586
45,0.016177
46,0.0151239
47,0.0162447
48,0.0148061
49,0.0152207
50,0.0148698
51,0.0166855
52,0.0167374
53,0.0161517
54,0.0177933
55,0.0157773
56,0.0166043
57,0.0155658
58,0.0153286
59,0.0156478
60,0.0176305
61,0.0161558
62,0.0150917
63,0.0150326
64,0.0152127
65,0.0157901
66,0.0158012
67,0.0147336
68,0.0153188
69,0.0161168
70,0.0156008
71,0.016203
72,0.0152812
73,0.0153937
74,0.0164258
75,0.0171479
76,0.0155291
77,0.0154099
78,0.0172012
79,0.016892
80,0.0214278
81,0.0169283
82,0.0149438
83,0.0158511
84,0.016397
85,0.0157554
86,0.0156311
87,0.0158953
88,0.0153085
89,0.0157356
90,0.0153985
91,0.0161504
92,0.0157824
93,0.0150843
94,0.0155883
95,0.0161343
96,0.0158851
97,0.0156689
98,0.0167256
99,0.0152602
100,0.0188578
101,0.0172035
102,0.0177525
103,0.0187693
104,0.0170982
105,0.0186633
106,0.0195098
107,0.0190107
108,0.0182906
109,0.0166996
110,0.0173832
111,0.0177305
112,0.0194856
113,0.0188454
114,0.0183315
115,0.019241
116,0.0177187
117,0.0187915
118,0.0173794
119,0.0189449
120,0.0184716
121,0.0176908
122,0.01835
123,0.0185239
124,0.0175978
125,0.0175182
126,0.0180749
127,0.018516
128,0.017065
129,0.0185156
130,0.0183895
131,0.0174219
132,0.0186134
133,0.0183543
134,0.0175596
135,0.0164296
136,0.0168849
137,0.0164003
138,0.018334
139,0.0169167
140,0.0178658
141,0.0171386
142,0.0171291
143,0.0182034
144,0.0192865
145,0.0174417
146,0.0191255
147,0.0172268
148,0.0183868
149,0.0189419
150,0.0207528
151,0.0185891
152,0.0178999
153,0.0180808
154,0.0192342
155,0.0184228
156,0.0176906
157,0.0176028
158,0.016573
159,0.0170763
160,0.017189
161,0.0166676
162,0.0177024
163,0.0174543
164,0.0168473
165,0.0175214
166,0.019016
167,0.0189667
168,0.0174331
169,0.01858
170,0.0184002
171,0.0183836
172,0.0186752
173,0.018212
174,0.0171563
175,0.0186049
176,0.0169866
177,0.0176682
178,0.0175575
179,0.0186816
180,0.0180545
181,0.0182199
182,0.0175475
183,0.0180416
184,0.0178666
185,0.0189428
186,0.0183053
187,0.0182413
188,0.0168897
189,0.0169369
190,0.0196713
191,0.016805
192,0.018665
193,0.0222425
194,0.0179871
195,0.017691
196,0.0171081
197,0.0180774
198,0.0197975
199,0.0178114
200,0.0262718
201,0.0270048
202,0.0272937
203,0.0291569
204,0.0279462
205,0.0274151
206,0.0276282
207,0.0301595
208,0.0279486
209,0.0293242
210,0.0269267
211,0.0280418
212,0.0284103
213,0.0290912
214,0.0307077
215,0.028724
216,0.0257994
217,0.0304402
218,0.0281139
219,0.0294716
220,0.0310202
221,0.0283456
222,0.0267535
223,0.0269118
224,0.0286251
225,0.0322892
226,0.0255179
227,0.0269671
228,0.0256765
229,0.0348722
230,0.0305637
231,0.026066
232,0.0271053
233,0.0295219
234,0.0282919
235,0.0258867
236,0.0293015
237,0.0284489
238,0.0276682
239,0.0286045
240,0.0287526
241,0.0283378
242,0.0309066
243,0.0283504
244,0.0256352
245,0.0288448
246,0.0296398
247,0.0294685
248,0.0295856
249,0.0270179
250,0.025613
251,0.0258359
252,0.0259969
253,0.0261126
254,0.0280005
255,0.0285103
256,0.0275911
257,0.0275236
258,0.0266256
259,0.0283174
260,0.030955
261,0.0278058
262,0.0282422
263,0.0275889
264,0.0282176
265,0.0253547
266,0.0283203
267,0.0274877
268,0.0285548
269,0.0284678
270,0.0267346
271,0.0274886
272,0.026893
273,0.0263582
274,0.02779
275,0.0280146
276,0.0264119
277,0.0274441
278,0.029091
279,0.027888
280,0.0261462
281,0.0279005
282,0.0268812
283,0.0276077
284,0.0268715
285,0.0269468
286,0.0271709
287,0.0274245
288,0.0263533
289,0.0259576
290,0.0280968
291,0.0269438
292,0.028171
293,0.0276733
294,0.0262001
295,0.0260479
296,0.0274601
297,0.0300744
298,0.0275008
299,0.0263066
300,0.0275943
301,0.0279649
302,0.0280739
303,0.026083
304,0.0288073
305,0.0280201
306,0.0267355
307,0.0255254
308,0.0283285
309,0.0280676
310,0.0274488
311,0.0278368
312,0.0259573
313,0.0286801
314,0.0274243
315,0.0278886
316,0.0288028
317,0.0256115
318,0.0276007
319,0.026955
320,0.0269284
321,0.0282092
322,0.0264575
323,0.0265318
324,0.0281243
325,0.0264267
326,0.027122
327,0.0281556
328,0.027843
329,0.0277125
330,0.028269
331,0.026879
332,0.0292385
333,0.0302732
334,0.028165
335,0.0254975
336,0.0268462
337,0.0263216
338,0.0278932
339,0.027553
